question_text,subject,cognitive_level_bloom,readability_score,word_count,sentence_count,time_taken_minutes,total_students_attempted,correct_attempts,incorrect_attempts,correct_percentage,learning_gap_score,discrimination_index,difficulty_label,assessment_quality_score
Determine stress on beam under scenario number 221.,Engineering Aptitude,apply,56.65,35,3,23,125,54,71,0.438,0.605,0.622,medium,0.521
Explain database normalization of scenario number 222.,Computer Science,apply,64.78,43,1,8,141,89,52,0.636,0.409,0.978,medium,0.798
Analyze time complexity of scenario number 223.,Computer Science,evaluate,85.74,15,2,18,128,23,105,0.184,0.863,0.627,hard,0.396
Apply Newton law to system scenario number 224.,Physics,understand,51.72,48,3,24,299,222,77,0.745,0.299,0.725,easy,0.726
Analyze flowchart representing scenario number 225.,Engineering Aptitude,evaluate,87.65,15,3,7,107,12,95,0.113,0.892,0.858,hard,0.484
Compute circuit resistance for scenario number 226.,Physics,create,71.44,38,1,7,247,79,168,0.321,0.696,0.648,hard,0.481
Analyze flowchart representing scenario number 227.,Engineering Aptitude,remember,45.25,21,3,21,285,205,80,0.72,0.313,0.882,easy,0.794
Compute definite integral of scenario number 228.,Mathematics,understand,43.98,46,1,10,203,119,84,0.587,0.432,0.603,medium,0.591
Determine projectile motion range for scenario number 229.,Physics,create,72.43,28,1,11,221,53,168,0.243,0.801,0.661,hard,0.443
Describe inheritance in scenario number 230.,Computer Science,evaluate,72.5,16,2,15,280,105,175,0.376,0.65,0.808,hard,0.587
Describe inheritance in scenario number 231.,Computer Science,create,73.13,31,2,11,252,53,199,0.213,0.815,0.694,hard,0.448
Explain database normalization of scenario number 232.,Computer Science,create,73.27,34,1,14,131,32,99,0.249,0.752,0.996,hard,0.622
Evaluate logical reasoning pattern in scenario number 233.,Engineering Aptitude,apply,65.07,26,1,17,117,69,48,0.591,0.42,0.989,medium,0.788
Implement binary search for scenario number 234.,Computer Science,remember,51.22,37,3,24,249,223,26,0.897,0.15,0.522,easy,0.7
Determine projectile motion range for scenario number 235.,Physics,remember,42.47,29,3,20,194,154,40,0.798,0.21,0.671,easy,0.733
Calculate electric field for scenario number 236.,Physics,understand,46.2,47,3,24,118,86,32,0.73,0.274,0.789,easy,0.759
Evaluate logical reasoning pattern in scenario number 237.,Engineering Aptitude,create,87.54,22,2,18,171,29,142,0.174,0.862,0.996,hard,0.578
Analyze time complexity of scenario number 238.,Computer Science,understand,41.49,48,3,12,248,209,39,0.847,0.184,0.594,easy,0.714
Implement binary search for scenario number 239.,Computer Science,apply,60.33,36,2,24,111,69,42,0.624,0.386,0.979,medium,0.799
Determine projectile motion range for scenario number 240.,Physics,remember,45.52,45,3,8,155,124,31,0.8,0.206,0.693,easy,0.745
Determine projectile motion range for scenario number 241.,Physics,remember,49.65,49,2,7,153,128,25,0.839,0.161,0.81,easy,0.825
Compute definite integral of scenario number 242.,Mathematics,create,77.11,34,1,9,103,26,77,0.253,0.783,0.552,hard,0.395
Compute circuit resistance for scenario number 243.,Physics,remember,43.38,38,2,20,246,185,61,0.754,0.287,0.749,easy,0.743
Compute definite integral of scenario number 244.,Mathematics,analyze,56.16,26,2,8,216,137,79,0.637,0.389,0.72,medium,0.673
Analyze flowchart representing scenario number 245.,Engineering Aptitude,apply,57.21,47,2,22,212,122,90,0.579,0.457,0.999,medium,0.782
Apply Newton law to system scenario number 246.,Physics,apply,69.0,31,2,6,247,157,90,0.636,0.37,0.705,medium,0.669
Calculate efficiency of machine with scenario number 247.,Engineering Aptitude,remember,52.6,23,2,18,168,123,45,0.737,0.281,0.667,easy,0.698
Analyze flowchart representing scenario number 248.,Engineering Aptitude,remember,40.39,20,1,15,150,57,93,0.382,0.631,0.715,hard,0.546
Find derivative of function scenario number 249.,Mathematics,understand,53.09,34,1,23,173,153,20,0.887,0.148,0.816,easy,0.845
Analyze time complexity of scenario number 250.,Computer Science,understand,40.75,49,1,6,169,120,49,0.711,0.3,0.566,easy,0.636
Evaluate matrix determinant for scenario number 251.,Mathematics,evaluate,77.98,39,1,14,205,37,168,0.185,0.828,0.623,hard,0.401
Compute circuit resistance for scenario number 252.,Physics,analyze,68.59,30,2,12,169,70,99,0.42,0.605,0.517,medium,0.463
Evaluate logical reasoning pattern in scenario number 253.,Engineering Aptitude,evaluate,71.25,35,2,3,106,13,93,0.126,0.886,0.866,hard,0.494
Evaluate logical reasoning pattern in scenario number 254.,Engineering Aptitude,evaluate,80.97,21,1,12,253,57,196,0.226,0.787,0.865,hard,0.543
Solve the quadratic equation scenario number 255.,Mathematics,understand,54.72,17,3,7,148,117,31,0.793,0.256,0.804,easy,0.789
Determine projectile motion range for scenario number 256.,Physics,create,76.99,18,3,12,170,51,119,0.305,0.722,0.99,hard,0.642
Find derivative of function scenario number 257.,Mathematics,understand,43.41,36,1,19,197,141,56,0.716,0.307,0.742,easy,0.725
Apply Newton law to system scenario number 258.,Physics,understand,42.49,16,2,4,243,190,53,0.782,0.25,0.773,easy,0.771
Evaluate matrix determinant for scenario number 259.,Mathematics,analyze,55.93,24,3,21,162,88,74,0.549,0.468,0.936,medium,0.739
Evaluate logical reasoning pattern in scenario number 260.,Engineering Aptitude,remember,48.17,36,3,10,178,155,23,0.876,0.168,0.619,easy,0.739
Determine projectile motion range for scenario number 261.,Physics,create,79.02,40,1,4,252,32,220,0.128,0.889,0.641,hard,0.381
Describe inheritance in scenario number 262.,Computer Science,remember,45.86,37,1,20,270,230,40,0.855,0.193,0.602,easy,0.719
Determine projectile motion range for scenario number 263.,Physics,create,80.47,42,1,6,184,35,149,0.194,0.838,0.598,hard,0.39
Compute circuit resistance for scenario number 264.,Physics,remember,53.45,34,2,14,229,174,55,0.763,0.28,0.953,easy,0.85
Calculate electric field for scenario number 265.,Physics,apply,59.15,47,1,10,200,123,77,0.62,0.421,0.657,medium,0.63
Apply Newton law to system scenario number 266.,Physics,remember,51.98,33,1,14,238,190,48,0.801,0.247,0.709,easy,0.745
Determine projectile motion range for scenario number 267.,Physics,evaluate,89.68,27,2,6,255,92,163,0.365,0.657,0.581,hard,0.468
Describe inheritance in scenario number 268.,Computer Science,remember,40.19,47,1,22,261,193,68,0.742,0.277,0.987,easy,0.861
Evaluate logical reasoning pattern in scenario number 269.,Engineering Aptitude,create,76.74,20,3,14,220,53,167,0.241,0.8,0.73,hard,0.477
Evaluate logical reasoning pattern in scenario number 270.,Engineering Aptitude,evaluate,77.16,17,2,18,120,16,104,0.134,0.87,0.86,hard,0.496
Analyze flowchart representing scenario number 271.,Engineering Aptitude,remember,46.3,32,2,13,284,223,61,0.787,0.242,0.869,easy,0.822
Evaluate matrix determinant for scenario number 272.,Mathematics,create,86.12,41,3,3,224,67,157,0.303,0.713,0.843,hard,0.57
Explain database normalization of scenario number 273.,Computer Science,remember,41.04,23,1,10,186,133,53,0.715,0.302,0.933,easy,0.821
Find derivative of function scenario number 274.,Mathematics,create,74.31,35,3,23,280,82,198,0.296,0.751,0.936,hard,0.607
Compute definite integral of scenario number 275.,Mathematics,evaluate,85.32,27,3,20,214,79,135,0.372,0.661,0.78,hard,0.569
Find derivative of function scenario number 276.,Mathematics,analyze,56.66,28,1,10,289,148,141,0.514,0.535,0.555,medium,0.525
Evaluate logical reasoning pattern in scenario number 277.,Engineering Aptitude,understand,46.34,38,2,8,249,89,160,0.358,0.657,0.955,hard,0.653
Analyze flowchart representing scenario number 278.,Engineering Aptitude,remember,51.31,34,1,9,162,131,31,0.812,0.22,0.766,easy,0.783
Evaluate logical reasoning pattern in scenario number 279.,Engineering Aptitude,analyze,64.53,31,2,11,163,92,71,0.57,0.444,0.912,medium,0.738
Explain database normalization of scenario number 280.,Computer Science,create,71.48,28,2,11,295,35,260,0.119,0.925,0.939,hard,0.52
Find derivative of function scenario number 281.,Mathematics,apply,59.96,30,1,19,275,112,163,0.41,0.619,0.998,medium,0.698
Analyze flowchart representing scenario number 282.,Engineering Aptitude,apply,67.84,19,1,5,271,117,154,0.434,0.57,0.955,medium,0.694
Calculate efficiency of machine with scenario number 283.,Engineering Aptitude,analyze,65.04,38,1,10,144,87,57,0.608,0.396,0.955,medium,0.781
Compute definite integral of scenario number 284.,Mathematics,apply,61.97,33,2,22,192,86,106,0.451,0.596,0.723,medium,0.578
Analyze time complexity of scenario number 285.,Computer Science,analyze,66.83,21,2,14,272,188,84,0.691,0.322,0.636,medium,0.661
Evaluate matrix determinant for scenario number 286.,Mathematics,analyze,62.09,22,3,8,105,70,35,0.667,0.333,0.52,medium,0.594
Find derivative of function scenario number 287.,Mathematics,evaluate,82.08,33,2,3,284,56,228,0.199,0.825,0.598,hard,0.394
Describe inheritance in scenario number 288.,Computer Science,create,82.22,27,1,8,148,15,133,0.102,0.909,0.518,hard,0.308
Calculate efficiency of machine with scenario number 289.,Engineering Aptitude,understand,41.62,35,1,19,291,233,58,0.803,0.212,0.966,easy,0.881
Implement binary search for scenario number 290.,Computer Science,apply,60.96,31,1,21,158,87,71,0.552,0.491,0.747,medium,0.641
Analyze flowchart representing scenario number 291.,Engineering Aptitude,remember,50.53,27,3,16,144,112,32,0.779,0.242,0.706,easy,0.738
Find derivative of function scenario number 292.,Mathematics,create,88.15,26,1,18,260,90,170,0.347,0.701,0.911,hard,0.619
Determine projectile motion range for scenario number 293.,Physics,evaluate,70.03,37,2,15,274,32,242,0.118,0.912,0.843,hard,0.474
Evaluate matrix determinant for scenario number 294.,Mathematics,remember,41.72,32,1,21,255,206,49,0.81,0.235,0.702,easy,0.747
Apply Newton law to system scenario number 295.,Physics,analyze,59.82,16,3,11,293,195,98,0.666,0.364,0.751,medium,0.703
Find derivative of function scenario number 296.,Mathematics,analyze,57.08,42,3,22,297,129,168,0.436,0.609,0.533,medium,0.476
Explain database normalization of scenario number 297.,Computer Science,analyze,63.01,31,1,14,262,140,122,0.535,0.47,0.7,medium,0.616
Analyze flowchart representing scenario number 298.,Engineering Aptitude,understand,53.65,45,1,8,127,98,29,0.777,0.265,0.702,easy,0.731
Determine stress on beam under scenario number 299.,Engineering Aptitude,analyze,56.16,44,2,5,294,193,101,0.657,0.389,0.715,medium,0.677
Calculate electric field for scenario number 300.,Physics,remember,44.78,47,3,4,283,207,76,0.733,0.299,0.522,easy,0.621
Describe inheritance in scenario number 301.,Computer Science,apply,66.43,33,1,12,287,147,140,0.514,0.487,0.693,medium,0.603
Analyze time complexity of scenario number 302.,Computer Science,apply,66.88,19,2,18,215,123,92,0.574,0.454,0.553,medium,0.558
Describe inheritance in scenario number 303.,Computer Science,understand,42.51,44,3,5,174,126,48,0.727,0.278,0.604,easy,0.665
Analyze flowchart representing scenario number 304.,Engineering Aptitude,apply,68.88,20,3,17,129,56,73,0.439,0.603,0.685,medium,0.554
Describe inheritance in scenario number 305.,Computer Science,analyze,60.62,20,2,11,212,90,122,0.426,0.604,0.576,medium,0.495
Implement binary search for scenario number 306.,Computer Science,create,70.62,36,1,7,148,38,110,0.26,0.749,0.623,hard,0.44
Compute circuit resistance for scenario number 307.,Physics,understand,52.58,48,1,21,184,141,43,0.768,0.245,0.983,easy,0.873
Calculate efficiency of machine with scenario number 308.,Engineering Aptitude,apply,63.37,42,3,5,240,141,99,0.588,0.437,0.701,medium,0.639
Analyze flowchart representing scenario number 309.,Engineering Aptitude,analyze,69.91,36,1,21,264,163,101,0.619,0.388,0.926,medium,0.771
Compute circuit resistance for scenario number 310.,Physics,remember,50.66,41,1,4,110,84,26,0.771,0.252,0.519,easy,0.64
Determine projectile motion range for scenario number 311.,Physics,remember,51.19,19,1,22,268,234,34,0.875,0.172,0.574,easy,0.715
Calculate efficiency of machine with scenario number 312.,Engineering Aptitude,evaluate,79.25,46,2,6,201,51,150,0.257,0.771,0.721,hard,0.483
Calculate efficiency of machine with scenario number 313.,Engineering Aptitude,create,82.12,31,3,23,181,42,139,0.233,0.797,0.796,hard,0.509
Compute circuit resistance for scenario number 314.,Physics,create,86.13,23,1,19,180,63,117,0.354,0.691,0.531,hard,0.434
Apply Newton law to system scenario number 315.,Physics,analyze,68.25,27,3,16,288,195,93,0.678,0.323,0.738,medium,0.708
Explain database normalization of scenario number 316.,Computer Science,evaluate,83.75,24,2,23,293,58,235,0.2,0.837,0.764,hard,0.475
Calculate efficiency of machine with scenario number 317.,Engineering Aptitude,apply,66.9,22,2,19,170,68,102,0.401,0.602,0.671,medium,0.535
Evaluate logical reasoning pattern in scenario number 318.,Engineering Aptitude,create,82.66,27,1,11,226,82,144,0.365,0.67,0.552,hard,0.452
Calculate efficiency of machine with scenario number 319.,Engineering Aptitude,evaluate,77.98,28,2,8,174,35,139,0.205,0.801,0.904,hard,0.553
Find derivative of function scenario number 320.,Mathematics,create,88.95,33,3,8,115,35,80,0.305,0.701,0.921,hard,0.612
Implement binary search for scenario number 321.,Computer Science,create,74.84,16,2,15,283,53,230,0.189,0.823,0.641,hard,0.412
Evaluate matrix determinant for scenario number 322.,Mathematics,remember,52.05,41,2,9,152,132,20,0.868,0.159,0.61,easy,0.734
Evaluate matrix determinant for scenario number 323.,Mathematics,understand,40.51,33,1,24,130,114,16,0.878,0.147,0.725,easy,0.796
Analyze time complexity of scenario number 324.,Computer Science,remember,48.79,34,2,16,277,233,44,0.843,0.198,0.902,easy,0.864
Analyze time complexity of scenario number 325.,Computer Science,apply,63.29,27,3,10,111,60,51,0.549,0.465,0.567,medium,0.555
Explain database normalization of scenario number 326.,Computer Science,analyze,64.44,26,1,17,284,113,171,0.4,0.626,0.523,medium,0.456
Calculate electric field for scenario number 327.,Physics,evaluate,75.52,37,2,10,268,54,214,0.202,0.845,0.541,hard,0.362
Determine stress on beam under scenario number 328.,Engineering Aptitude,understand,53.96,33,1,4,271,220,51,0.814,0.231,0.971,easy,0.884
Apply Newton law to system scenario number 329.,Physics,evaluate,78.45,26,3,7,244,74,170,0.306,0.719,0.694,hard,0.495
Determine stress on beam under scenario number 330.,Engineering Aptitude,analyze,64.49,24,3,23,248,164,84,0.663,0.346,0.639,medium,0.649
Calculate electric field for scenario number 331.,Physics,analyze,56.94,39,2,11,120,65,55,0.543,0.489,1.0,medium,0.765
Describe inheritance in scenario number 332.,Computer Science,apply,56.57,42,1,5,146,63,83,0.433,0.598,0.885,medium,0.653
Evaluate matrix determinant for scenario number 333.,Mathematics,apply,55.04,27,2,7,240,125,115,0.525,0.511,0.686,medium,0.598
Apply Newton law to system scenario number 334.,Physics,analyze,68.05,36,1,6,208,130,78,0.626,0.376,0.697,medium,0.661
Explain database normalization of scenario number 335.,Computer Science,create,88.62,17,2,14,271,59,212,0.219,0.817,0.6,hard,0.402
Evaluate logical reasoning pattern in scenario number 336.,Engineering Aptitude,analyze,68.35,49,1,19,217,137,80,0.635,0.393,0.55,medium,0.587
Implement binary search for scenario number 337.,Computer Science,analyze,65.32,38,2,24,180,78,102,0.437,0.583,0.746,medium,0.588
Calculate efficiency of machine with scenario number 338.,Engineering Aptitude,understand,46.06,38,1,13,252,224,28,0.893,0.133,0.839,easy,0.861
Evaluate logical reasoning pattern in scenario number 339.,Engineering Aptitude,evaluate,76.24,31,2,14,126,34,92,0.273,0.731,0.691,hard,0.481
Explain database normalization of scenario number 340.,Computer Science,remember,45.52,21,1,3,154,123,31,0.804,0.214,0.686,easy,0.741
Evaluate logical reasoning pattern in scenario number 341.,Engineering Aptitude,remember,40.02,27,3,6,210,175,35,0.835,0.192,0.915,easy,0.87
Evaluate matrix determinant for scenario number 342.,Mathematics,apply,64.09,36,3,6,203,85,118,0.42,0.592,0.623,medium,0.519
Determine projectile motion range for scenario number 343.,Physics,understand,47.26,37,2,6,189,169,20,0.898,0.114,0.765,easy,0.829
Determine projectile motion range for scenario number 344.,Physics,create,83.02,46,2,11,116,19,97,0.168,0.842,0.57,hard,0.367
Apply Newton law to system scenario number 345.,Physics,create,82.45,33,3,15,280,72,208,0.258,0.787,0.582,hard,0.411
Compute definite integral of scenario number 346.,Mathematics,analyze,64.64,38,2,17,258,157,101,0.612,0.391,0.574,medium,0.592
Compute definite integral of scenario number 347.,Mathematics,create,70.16,25,2,3,277,52,225,0.191,0.847,0.677,hard,0.426
Apply Newton law to system scenario number 348.,Physics,apply,69.24,20,2,24,289,155,134,0.538,0.489,0.716,medium,0.622
Describe inheritance in scenario number 349.,Computer Science,understand,40.66,43,1,13,207,179,28,0.869,0.18,0.897,easy,0.873
Calculate electric field for scenario number 350.,Physics,evaluate,87.08,20,1,18,167,64,103,0.385,0.664,0.856,hard,0.611
